Time,B-G,B-G error,TIme,G-R,G-R error,TIme,B-R,B-R error
2022.73773365548,-0.0997438136833,0.120471438629023,2022.73773365548,0.1470896473931,0.108341210292614,2022.73773397254,0.1980007359008,0.105261501237021
2022.73773397254,0.0458295223588,0.122166104097034,2022.73773397254,0.152171213542,0.105677762460059,2022.73773416277,0.3189050696817,0.10650741313656
2022.73773416277,0.1909887837726,0.122185063266666,2022.73773416277,0.1279162859091,0.108394872028616,2022.73773447983,0.2756341441436,0.104189272500301
2022.73773447983,0.1180617243215,0.117504205212757,2022.73773447983,0.1575724198221,0.109027790169605,2022.7377348603,0.6074658649437,0.104404579366846
2022.7377348603,0.433945442319,0.119751331713979,2022.7377348603,0.1735204226247,0.109626166915681,2022.73773492371,0.3125598034566,0.095743540860616
2022.73773492371,0.1634029866207,0.112038263658721,2022.73773492371,0.1491568168359,0.115100453833442,2022.73773524101,0.4255055795963,0.0920046868998375
2022.73773524101,0.2567352502616,0.124088488558024,2022.73773524101,0.1687703293347,0.106081946846809,2022.73773565319,0.7008115600947,0.0935718843198212
2022.73773539954,0.3200344930282,0.129559632194156,2022.73773565319,0.2554436085671,0.110015105375225,2022.7377357166,0.5980998284205,0.0997096196326161
2022.73773565319,0.4453679515276,0.122640102494053,2022.7377357166,0.2394037621774,0.114518020809395,2022.73773622389,0.776039469239,0.102968487857255
2022.7377357166,0.3586960662431,0.141916024371959,2022.73773622389,0.2129728555418,0.120466877738986,2022.73773704848,0.9485919247765,0.0959196333264714
2022.73773622389,0.5630666136972,0.138578539306688,2022.73773704848,0.4156961247763,0.117225288862081,2022.73773723872,0.851988161847,0.0935596580072051
2022.73773673118,0.5971714019308,0.126080665162848,2022.73773723872,0.4288566999734,0.126873930434013,2022.73773736554,0.8818885735474,0.0936393301868416
2022.73773704848,0.5328958000002,0.129191756443521,2022.73773736554,0.3516054874793,0.138844900388583,2022.73773742895,0.789701406801,0.0917741540858742
2022.73773723872,0.4231314618736,0.126238081234381,2022.73773742895,0.3136145456781,0.136033023750824,2022.73773799965,0.7499487108488,0.0866276226451443
2022.73773736554,0.5302830860681,0.12896812095431,2022.73773799965,0.3308025255867,0.122938351761492,2022.73773812648,0.821961965744,0.0861963023170948
2022.73773742895,0.4760868611229,0.122841516970434,2022.73773812648,0.4379512865102,0.129234255723789,2022.73773850695,0.8207199272738,0.0889813468349924
2022.73773799965,0.4191461852621,0.414185578003826,2022.73773850695,0.4616679444028,0.125428609654998,2022.73773895107,0.7355207120503,0.0847056590117794
2022.73773812648,0.3840106792338,0.119079012673311,2022.73773876083,0.3851690306782,0.126587074242394,2022.7377391413,0.5251920001827,0.0822859732860189
2022.73773850695,0.359051982871,0.110942915688129,2022.7377391413,0.4039948638399,0.123033066178134,2022.73773945836,0.289516614269,0.094153175242419
2022.73773895107,-0.0514694348853,0.110323954094937,2022.73773945836,0.275895633795,0.414372516856552,2022.73773980712,0.1130223650326,0.0849185183716782
2022.7377391413,0.1211971363428,0.111030340232831,2022.73773980712,0.1412817046789,0.124340152294297,2022.73774094877,0.0596969152746,0.089675753183866
2022.73773945836,0.013620980474,0.113816339148097,2022.73774012418,0.5562251717194,0.1123702575753,2022.73774113901,0.314146932522,0.0973511950316957
2022.73773980712,-0.0282593396463,0.117110261013606,2022.73774075854,0.0253203841853,0.106899077680719,2022.73774151948,0.6293729393813,0.0996843186786883
2022.73774056806,-0.130528505923,0.122719431985705,2022.73774094877,0.0691289110147,0.114790478215332,2022.73774170971,0.3478757264312,0.0944636942649975
